,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,talnakh,94,RU,1650910725,97,69.4865,88.3972,254.93,1.81
1,bluff,30,NZ,1650910709,66,-46.6,168.3333,283.6,10.48
2,saskylakh,83,RU,1650910706,100,71.9167,114.0833,250.63,1.71
3,ostrovnoy,100,RU,1650910725,98,68.0531,39.5131,274.33,1.92
4,ushuaia,100,AR,1650910699,67,-54.8,-68.3,278.94,1.5
5,aswan,0,EG,1650910726,10,24.0934,32.907,304.8,3.75
6,hatfield,20,GB,1650910726,64,51.7634,-0.2242,285.83,5.66
7,westport,0,US,1650910543,47,41.1415,-73.3579,290.72,6.69
8,hasaki,98,JP,1650910727,89,35.7333,140.8333,289.42,2.68
9,rikitea,100,PF,1650910727,77,-23.1203,-134.9692,297.54,6.62
10,hilo,75,US,1650910544,92,19.7297,-155.09,297.19,1.79
11,busselton,97,AU,1650910723,72,-33.65,115.3333,290.15,8.44
12,albany,100,US,1650910725,36,42.6001,-73.9662,293.31,2.68
13,hobart,100,AU,1650910497,91,-42.8794,147.3294,283.74,3.6
14,valentin gomez farias,0,MX,1650910728,12,28.2167,-106.5833,297.25,4.35
15,saint-philippe,49,RE,1650910728,83,-21.3585,55.7679,296.05,7.15
16,malibu,29,US,1650910577,31,34.005,-118.8101,305.29,1.79
17,atuona,32,PF,1650910518,77,-9.8,-139.0333,298.84,7.66
18,chokurdakh,100,RU,1650910729,91,70.6333,147.9167,258.97,2.65
19,vadso,75,NO,1650910729,80,70.0744,29.7487,273.64,5.66
20,vaini,100,TO,1650910729,94,-21.2,-175.2,295.24,6.17
21,carnarvon,40,AU,1650910730,88,-24.8667,113.6333,292.19,2.06
22,cape town,0,ZA,1650910730,71,-33.9258,18.4232,288.86,6.17
23,avarua,88,CK,1650910731,100,-21.2078,-159.775,296.18,1.03
24,ribeira grande,20,PT,1650910731,67,38.5167,-28.7,290.37,5.14
25,puerto escondido,20,MX,1650910670,66,15.85,-97.0667,303.61,4.12
26,zhezkazgan,8,KZ,1650910731,36,47.8043,67.7144,284.12,2.01
27,qaanaaq,90,GL,1650910518,66,77.484,-69.3632,261.83,2.22
28,wanning,24,CN,1650910732,93,18.8003,110.3967,298.82,4.33
29,tambun,100,ID,1650910732,89,-6.2641,107.0712,300.9,1.67
30,husavik,85,IS,1650910732,73,66.0449,-17.3389,279.74,1.6
31,east london,0,ZA,1650910733,82,-33.0153,27.9116,288.67,3.09
32,saldanha,0,ZA,1650910733,77,-33.0117,17.9442,287.98,8.02
33,punta arenas,75,CL,1650910733,71,-53.15,-70.9167,281.21,6.17
34,hobyo,21,SO,1650910734,70,5.3505,48.5268,302.0,5.36
35,comodoro rivadavia,40,AR,1650910734,38,-45.8667,-67.5,287.07,11.83
